Epoch: 1, Train loss: 4.186300277709961, Eval loss: 2.948056697845459, patience: 1. Time 76.640953540802
Epoch: 2, Train loss: 2.5421230792999268, Eval loss: 2.004237651824951, patience: 1. Time 76.4445264339447
Epoch: 3, Train loss: 1.8266888856887817, Eval loss: 1.6303128004074097, patience: 1. Time 76.26595902442932
Epoch: 4, Train loss: 1.4357585906982422, Eval loss: 1.482712984085083, patience: 1. Time 77.28322458267212
Epoch: 5, Train loss: 1.176565408706665, Eval loss: 1.4040013551712036, patience: 1. Time 77.23536419868469
Epoch: 6, Train loss: 0.9969968199729919, Eval loss: 1.373586654663086, patience: 1. Time 77.3201367855072
Epoch: 7, Train loss: 0.85317462682724, Eval loss: 1.3977683782577515, patience: 1. Time 76.52227067947388
Epoch: 8, Train loss: 0.7432900071144104, Eval loss: 1.4157357215881348, patience: 2. Time 76.57517194747925
Epoch: 9, Train loss: 0.6643882393836975, Eval loss: 1.4319831132888794, patience: 3. Time 76.32783889770508
Epoch: 10, Train loss: 0.5918142199516296, Eval loss: 1.4792366027832031, patience: 4. Time 76.65888452529907
Best epoch was 6 with 1.373586654663086 eval loss
