Epoch: 1, Train loss: 4.547257688602162, Eval loss: 4.073648318648338, patience: 1. Time 311.5818843841553
Epoch: 2, Train loss: 3.495545478119199, Eval loss: 3.680716171860695, patience: 1. Time 311.06697964668274
Epoch: 3, Train loss: 3.0297287245679008, Eval loss: 3.6204048097133636, patience: 1. Time 311.00902581214905
Epoch: 4, Train loss: 2.7206365789085756, Eval loss: 3.684690549969673, patience: 1. Time 312.2866129875183
Epoch: 5, Train loss: 2.504196987278136, Eval loss: 3.611321836709976, patience: 2. Time 308.4588932991028
Epoch: 6, Train loss: 2.3283637355077635, Eval loss: 3.646440103650093, patience: 1. Time 313.8450891971588
Epoch: 7, Train loss: 2.2140588820768348, Eval loss: 3.710516944527626, patience: 2. Time 308.682977437973
Epoch: 8, Train loss: 2.1058153016451695, Eval loss: 3.788264274597168, patience: 3. Time 309.9945251941681
Epoch: 9, Train loss: 2.0157759155470893, Eval loss: 3.8061249256134033, patience: 4. Time 310.3670754432678
Epoch: 10, Train loss: 1.9553594166486798, Eval loss: 3.845608279109001, patience: 5. Time 309.9749300479889

Best Epoch: 5, Train loss: 2.504196987278136, Eval loss: 3.611321836709976
