Epoch: 1, Train loss: 4.450022220611572, Eval loss: 3.107335090637207, patience: 1. Time 13.805654764175415
Epoch: 2, Train loss: 2.7562944889068604, Eval loss: 2.196779251098633, patience: 1. Time 12.599369525909424
Epoch: 3, Train loss: 2.0567777156829834, Eval loss: 1.8117517232894897, patience: 1. Time 12.920658111572266
Epoch: 4, Train loss: 1.6460583209991455, Eval loss: 1.6064262390136719, patience: 1. Time 12.70738935470581
Epoch: 5, Train loss: 1.3749070167541504, Eval loss: 1.4789458513259888, patience: 1. Time 12.750669002532959
Epoch: 6, Train loss: 1.1709470748901367, Eval loss: 1.4230008125305176, patience: 1. Time 12.690899848937988
Epoch: 7, Train loss: 1.01650071144104, Eval loss: 1.4143142700195312, patience: 1. Time 12.69911813735962
Epoch: 8, Train loss: 0.8906280398368835, Eval loss: 1.3949575424194336, patience: 1. Time 12.724719047546387
Epoch: 9, Train loss: 0.7918173670768738, Eval loss: 1.4209078550338745, patience: 1. Time 12.663723468780518
Epoch: 10, Train loss: 0.7089118957519531, Eval loss: 1.419948697090149, patience: 2. Time 12.627846717834473
Best epoch was 8 with 1.3949575424194336 eval loss
