Epoch: 1, Train loss: 5.227979176895209, Eval loss: 4.6925875544548035, patience: 1. Time 139.47584319114685
Epoch: 2, Train loss: 4.628681155525712, Eval loss: 4.33595597743988, patience: 1. Time 139.4770381450653
Epoch: 3, Train loss: 4.265218722017165, Eval loss: 4.1797895431518555, patience: 1. Time 138.52426767349243
Epoch: 4, Train loss: 3.924220703715933, Eval loss: 4.101206123828888, patience: 1. Time 138.97273993492126
Epoch: 5, Train loss: 3.7053392464836037, Eval loss: 4.015961855649948, patience: 1. Time 138.18291807174683
Epoch: 6, Train loss: 3.549624093537691, Eval loss: 3.9347227811813354, patience: 1. Time 138.50819063186646
Epoch: 7, Train loss: 3.414830525576828, Eval loss: 3.8599541187286377, patience: 1. Time 139.0934019088745
Epoch: 8, Train loss: 3.2777604671645784, Eval loss: 3.825033873319626, patience: 1. Time 138.97338819503784
Epoch: 9, Train loss: 3.17846718741773, Eval loss: 3.803772211074829, patience: 1. Time 139.29760193824768
Epoch: 10, Train loss: 3.080257242091484, Eval loss: 3.792019635438919, patience: 1. Time 139.47582840919495
Epoch: 11, Train loss: 2.984063795769827, Eval loss: 3.768549472093582, patience: 1. Time 139.15070629119873
Epoch: 12, Train loss: 2.919224562324461, Eval loss: 3.757661819458008, patience: 1. Time 141.2715549468994
Epoch: 13, Train loss: 2.859364787133943, Eval loss: 3.7084721624851227, patience: 1. Time 139.6196894645691
Epoch: 14, Train loss: 2.777074654369244, Eval loss: 3.7164592146873474, patience: 1. Time 140.93809461593628
Epoch: 15, Train loss: 2.7105769620919746, Eval loss: 3.7438597679138184, patience: 2. Time 140.33717918395996
Epoch: 16, Train loss: 2.6466928492499977, Eval loss: 3.7433502674102783, patience: 3. Time 140.99058723449707
Epoch: 17, Train loss: 2.59416288363711, Eval loss: 3.740222841501236, patience: 4. Time 139.7113037109375
Epoch: 18, Train loss: 2.528211335001003, Eval loss: 3.7127025723457336, patience: 5. Time 140.49969339370728
Epoch: 19, Train loss: 2.4861549447971716, Eval loss: 3.7418702244758606, patience: 6. Time 140.25498247146606
Epoch: 20, Train loss: 2.443237164608269, Eval loss: 3.7417206466197968, patience: 7. Time 140.18983101844788
Epoch: 21, Train loss: 2.37678154387922, Eval loss: 3.704817831516266, patience: 8. Time 138.65179991722107
Epoch: 22, Train loss: 2.363426756057045, Eval loss: 3.758782684803009, patience: 1. Time 140.03193378448486
Epoch: 23, Train loss: 2.2979051292695, Eval loss: 3.8120177090168, patience: 2. Time 140.21836400032043
Epoch: 24, Train loss: 2.2710256195019163, Eval loss: 3.7783707976341248, patience: 3. Time 140.20857763290405
Epoch: 25, Train loss: 2.2420216487262525, Eval loss: 3.798141300678253, patience: 4. Time 139.8297152519226
Epoch: 26, Train loss: 2.1971949032953018, Eval loss: 3.805689215660095, patience: 5. Time 140.42510747909546
Epoch: 27, Train loss: 2.168293627738607, Eval loss: 3.868201047182083, patience: 6. Time 139.25247740745544
Epoch: 28, Train loss: 2.1335927422729344, Eval loss: 3.861487954854965, patience: 7. Time 138.9799358844757
Epoch: 29, Train loss: 2.1128704044506796, Eval loss: 3.902508795261383, patience: 8. Time 138.49505233764648
Epoch: 30, Train loss: 2.0745304185271465, Eval loss: 3.9082184731960297, patience: 9. Time 139.31201195716858
[STOPPING] Early stopping in action..
Best epoch was 20 with 3.704817831516266 eval loss
