Epoch: 1, Train loss: 5.36882130164932, Eval loss: 5.237568795681, patience: 1. Time 101.66202521324158
Epoch: 2, Train loss: 4.759811546308879, Eval loss: 4.937520802021027, patience: 1. Time 101.56328701972961
Epoch: 3, Train loss: 4.387117727212444, Eval loss: 4.673093736171722, patience: 1. Time 101.48649525642395
Epoch: 4, Train loss: 4.150577740522208, Eval loss: 4.606476068496704, patience: 1. Time 101.9422755241394
Epoch: 5, Train loss: 3.965011507404008, Eval loss: 4.444623053073883, patience: 1. Time 101.12247967720032
Epoch: 6, Train loss: 3.825966409649618, Eval loss: 4.342661559581757, patience: 1. Time 101.73383450508118
Epoch: 7, Train loss: 3.6901848169150333, Eval loss: 4.2413575649261475, patience: 1. Time 101.80564212799072
Epoch: 8, Train loss: 3.573085042348517, Eval loss: 4.209147572517395, patience: 1. Time 101.41811943054199
Epoch: 9, Train loss: 3.494353106368481, Eval loss: 4.157898813486099, patience: 1. Time 101.6640214920044
Epoch: 10, Train loss: 3.3824418105743006, Eval loss: 4.1290780901908875, patience: 1. Time 100.90009045600891

Best Epoch: 10, Train loss: 3.3824418105743006, Eval loss: 4.1290780901908875
